Country or region,Highest point,Maximum elevation,Lowest point,Minimum elevation,Elevation span
Afghanistan,Noshakh,"7492 m
24,580 ft",Amu Darya,"258 m
846 ft","7234 m
23,734 ft"
Albania,Korab,"2764 m
9,068 ft",Adriatic Sea,sea level,"2764 m
9,068 ft"
Algeria,Mount Tahat,"3003 m
9,852 ft",Chott Melrhir,"−40 m
−131 ft","3043 m
9,984 ft"
American Samoa,Lata Mountain on Ta‘ū,"966 m
3,169 ft",South Pacific Ocean,sea level,"966 m
3,169 ft"
Andorra,Coma Pedrosa,"2942 m
9,652 ft",Gran Valira,"840 m
2,756 ft","2102 m
6,896 ft"
Angola,Mount Moco,"2620 m
8,596 ft",South Atlantic Ocean,sea level,"2620 m
8,596 ft"
Anguilla,Crocus Hill,"73 m
240 ft",Caribbean Sea,sea level,"73 m
240 ft"
Antarctica,Mount Vinson,"4892 m
16,050 ft","Deep Lake, Vestfold Hills[citation needed]","−50 m
−164 ft","4942 m
16,214 ft"
Antigua and Barbuda,Boggy Peak on Antigua,"402 m
1,319 ft",Caribbean Sea,sea level,"402 m
1,319 ft"
Argentina,Aconcagua,"6960 m
22,835 ft",Laguna del Carbón,"−105 m
−344 ft","7065 m
23,179 ft"
Armenia,Mount Aragats,"4090 m
13,419 ft",Debed,"400 m
1,312 ft","3690 m
12,106 ft"
Aruba,Mount Jamanota,"188 m
617 ft",Caribbean Sea,sea level,"188 m
617 ft"
Ashmore and Cartier Islands,Unnamed location,"3 m
10 ft",Indian Ocean,sea level,"3 m
10 ft"
Australia,Mount Kosciuszko,"2228 m
7,310 ft",Lake Eyre,"−15 m
−49 ft","2243 m
7,359 ft"
Austria,Grossglockner,"3798 m
12,461 ft",Lake Neusiedl,"115 m
377 ft","3683 m
12,083 ft"
Azerbaijan,Mount Bazardüzü,"4485 m
14,715 ft",Caspian Sea,"−28 m
−92 ft","4513 m
14,806 ft"
Bahamas,Mount Alvernia on Cat Island,"63 m
207 ft",North Atlantic Ocean,sea level,"63 m
207 ft"
Bahrain,Mountain of Smoke,"122 m
400 ft",Persian Gulf,sea level,"122 m
400 ft"
Bangladesh,Saka Haphong,"1063 m
3,488 ft",Bay of Bengal,sea level,"1063 m
3,488 ft"
Barbados,Mount Hillaby,"336 m
1,102 ft",North Atlantic Ocean,sea level,"336 m
1,102 ft"
Belarus,Dzyarzhynskaya Hara,"346 m
1,135 ft",Neman,"90 m
295 ft","256 m
840 ft"
Belgium,Signal de Botrange,"694 m
2,277 ft",De Moeren,"−4 m
−13 ft","698 m
2,290 ft"
Belize,Doyle's Delight,"1124 m
3,688 ft",Caribbean Sea,sea level,"1124 m
3,688 ft"
Benin,Mont Sokbaro,"658 m
2,159 ft",Bight of Benin,sea level,"658 m
2,159 ft"
