Country,Name of animal,"Scientific name 
(Latin name)",Picture,Ref.
Algeria,Fennec fox  (national animal),Vulpes zerda,,
Argentina,Rufous hornero (national bird),Furnarius rufus,,
Antigua and Barbuda,European fallow deer (national animal),Dama dama,,
Antigua and Barbuda,Frigate (national bird),Fregata magnificens,,
Antigua and Barbuda,Hawksbill turtle (national sea creature),Eretmochelys imbricata,,
Azerbaijan,Karabakh horse (national horse),Equus caballus,,
Bahamas,Blue marlin (national fish),Makaira nigricans,,
Bahamas,Flamingo (national bird),Phoenicopterus ruber,,
Bangladesh,Bengal tiger (national animal),Panthera tigris tigris,,
Bangladesh,Magpie robin (national bird),Copsychus saularis,,
Bangladesh,Ilish (national fish),Tenualosa ilisha,,
Belize,Baird's tapir (national animal),Tapirus bairdii,,
Belize,Keel-billed toucan (national bird),Ramphastos sulfuratus,,
Botswana,Plains zebra  (national animal),Equus quagga,,
Brazil,Rufous-bellied thrush (national bird),Turdus rufiventris,,
Cambodia,Kouprey (national mammal),Bos sauveli,,[better source needed]
Cambodia,Giant ibis (national bird),Pseudibis gigantea,,[better source needed]
Cambodia,Northern river terrapin (national reptile),Batagur baska,,[better source needed]
Cambodia,Giant barb (national fish),Catlocarpio siamensis,,[better source needed]
Canada,North American beaver (national animal),Castor canadensis,,
Canada,Canadian horse (national horse),Equus caballus,,
Colombia,Andean Condor (national bird),Vultur gryphus,,
Costa Rica,Yigüirro (national bird),Turdus grayi,,
Costa Rica,West Indian manatee (national aquatic animal),Trichechus manatus,,
Costa Rica,"Three-toed sloth
Two-toed sloth","Choloepus hoffmanni
Bradypus variegatus",,
Cuba,Cuban trogon (national bird),Priotelus temnurus,,
Denmark,Red squirrel (national mammal),Sciurus vulgaris,,
Denmark,Mute swan (national bird),Cygnus olor,,
Denmark,Small tortoiseshell (national butterfly),Aglais urticae,,
Dominica,Sisserou parrot (national bird),Amazona imperalis,,
Dominican Republic,Palmchat (national bird),Dulus dominicus,,
El Salvador,Turquoise-browed motmot (national bird),Eumomota superciliosa,,
Finland,Brown bear,Ursus arctos,,
Finland,Whooper Swan (national bird),Cygnus cygnus,,
Finland,European perch (national fish),Perca fluviatilis,,
Finland,Seven-spot ladybird (national insect),Coccinella septempunctata,,
Grenada,Grenada dove (national bird),Leptotila wellsi,,
Guatemala,Resplendent quetzal (national bird),Pharomachrus mocinno,,
Honduras,White-tailed deer (national animal),Odocoileus virginianus,,
Honduras,Scarlet macaw (national bird),Ara macao,,
India,Bengal tiger (national animal),Panthera tigris tigris,,
India,Indian peafowl (national bird),Pavo cristatus,,
India,Ganges river dolphin (national aquatic animal),Platanista gangetica,,
India,Indian elephant (national heritage animal),Elephas maximus indicus,,
Indonesia,Komodo dragon (national animal),Varanus komodoensis,,
Indonesia,Javan hawk-eagle (national bird),Nisaetus bartelsi,,
Indonesia,Asian arowana (national fish),Scleropages formosus,,
Jamaica,Red-billed streamertail (national bird),Trochilus polytmus,,
Latvia,White wagtail (national bird),Motacilla alba,,
Latvia,Two-spotted ladybird (national insect),Adalia bipunctata,,
Lebanon,Striped hyena (national animal),Hyaena hyaena,,
Lithuania,White stork (national bird),Ciconia ciconia,,
Mongolia,Saker falcon (national bird),Falco cherrug,,"[better source needed]
[better source needed]"
Malaysia,Malayan Tiger (national animal),Felis tigris,,[better source needed]
Nicaragua,Turquoise-browed motmot (national bird),Eumomota superciliosa,,
Pakistan,Markhor (national animal),Capra falconeri,,
Pakistan,Indus river dolphin (national aquatic mammal),Platanista minor,,
Pakistan,Chukar (national bird),Alectoris chukar,,
Pakistan,Mugger crocodile (national reptile),Crocodylus palustris,,
Pakistan,Shaheen falcon (heritage bird),Falco peregrinus peregrinator,,
Pakistan,Snow leopard (national predator),Panthera uncia,,
Panama,Harpy eagle (national bird),Harpia harpyja,,
Peru,Andean cock-of-the-rock (national bird),Rupicola peruviana,,
Philippines,Philippine eagle (national bird),Pithecophaga jefferyi,,
Qatar,Arabian oryx (national animal),Oryx leucoryx,,
Saint Kitts and Nevis,Brown Pelican (national bird),Pelecanus occidentalis,,
Saint Lucia,Saint Lucia amazon (national bird),Amazona versicolor,,
Saint Vincent and the Grenadines,Saint Vincent amazon (national bird),Amazona guildingii,,
Saudi Arabia,Arabian camel  (national animal),Camelus dromedarius,,
South Africa,Springbok (national animal),Antidorcas marsupialis,,
South Africa,Blue crane (national bird),Anthropoides paradiseus,,
South Africa,Galjoen (national fish),Dichistius capensis,,
Sri Lanka,Sri Lankan junglefowl (national bird),Gallus lafayettii,,
Tanzania,Giraffe (national animal),Giraffa sp.,,
Thailand,Asian elephant (national animal),Elephas maximus,,
Thailand,Siamese fighting fish (national aquatic animal),Betta splendens,,
Uganda,Grey crowned crane (national bird),Balearica regulorum,,
United Arab Emirates,Saker falcon (national bird),Falco cherrug,,
United Arab Emirates,Arabian oryx (national animal),Oryx leucoryx,,
United States,Bald eagle (national bird),Haliaeetus leucocephalus,,
United States,American bison (national mammal),Bison bison,,
Venezuela,Venezuelan troupial (national bird),Icterus icterus,,[citation needed]
Zimbabwe,Bateleur (national bird),Terathopius ecaudatus,,
