Country,National anthem,Date adopted (de jure),Lyricist,Composer/Artist,Audio,Length,Ref.
Afghanistan,"""Soroud-e-Melli""
(""National Anthem"")",2006,Abdul Bari Jahani,Babrak Wassa,"""Millī Surūd""",1m 59s,—
Albania,"""Betimi mbi Flamur""
(""The Pledge on the Flag"")",1912,Aleksandër Stavre Drenova,Ciprian Porumbescu,"""Himni i Flamurit""",1m 6s,
Algeria,"""Kassaman"" 
(""We Pledge"")",1962,Moufdi Zakaria,Mohamed Fawzi,"""Kassaman""",1m 13s,
Andorra,"""El gran Carlemany""
(""The Great Charlemagne"")",1914,Enric Marfany Bons,Juan Benlloch y Vivó,"""El Gran Carlemany""",1m 6s,
Angola,"""Angola Avante""
(""Onward Angola"")",1975,Manuel Rui Alves Monteiro,Rui Mingas [pt],"""Angola Avante""",1m 4s,
Antigua and Barbuda,"""Fair Antigua, We Salute Thee""","1967, 1981",Novelle Hamilton Richards,Walter Garnet Picart Chambers,"""Fair Antigua, We Salute Thee""",1m 1s,
Argentina,"""Himno Nacional Argentino""
(""Argentine National Anthem"")",1813,Vicente López y Planes,Blas Parera,"""Himno Nacional Argentino""",3m 33s,
Armenia,"""Մեր Հայրենիք Mer Hayrenik""
(""Our Fatherland"")","1918, 1991",Mikael Nalbandian,Barsegh Kanachyan,"""Mer Hayrenik""",0m 28s (one verse),
Australia,"""Advance Australia Fair""","1974, 1984",Peter Dodds McCormick,Peter Dodds McCormick,"""Advance Australia Fair""",0m 54s,
Austria,"""Bundeshymne der Republik Österreich""
(""National Anthem of the Republic of Austria"")","1946 (as instrumental)
 1947 (with lyrics)",Paula von Preradović,Wolfgang Amadeus Mozart/Johann Holzer [de],"""National Anthem of the Republic of Austria""",1m 29s,
Azerbaijan,"""Azərbaycan marşı""
(""Azerbaijan's Anthem"")","1920, 1992",Ahmed Javad,Uzeyir Hajibeyov,"""Azərbaycan Dövlət Himni""",2m 12s,
Bahamas,"""March On, Bahamaland""",1973,Timothy Gibson,Timothy Gibson,"""March On, Bahamaland""",1m 15s,
Bahrain,"""Bahrainona""
(""Our Bahrain"")",1971,Mohamed Sudqi Ayyash,Unknown,"""Our Bahrain""",0m 49s,
Bangladesh,"""Amar Shonar Bangla""
(""My Golden Bengal"")",1972,Rabindranath Tagore,Samar Das,"""Amar Shonar Bangla""",2m 15s,
Barbados,"""In Plenty and In Time of Need""",1966,Irving Burgie,C. Van Roland Edwards,"""In Plenty and In Time of Need""",1m 19s,
Belarus,"""My Belarusy""
(""We, the Belarusians"")",1955,Michael Klimovich,Nestar Sakalowski,"""My Belarusy""",3m 32s,
Belgium,"""La Brabançonne""
(""The Brabantian"")",1860,Jenneval (Louis-Alexandre Dechet),François Van Campenhout,"""The Brabançonne""",1m 3s,
Belize,"""Land of the Free""",1981,Samuel Alfred Haynes,Selwyn Walford Young,"""Land of the Free""",2m 42s,
Benin,"""L'Aube Nouvelle""
(""The Dawn of a New Day"")",1960,Gilbert Jean Dagnon,Gilbert Jean Dagnon,"""L'Aube Nouvelle""",1m 8s,
Bhutan,"""Druk Tsenden""
(""The Thunder Dragon Kingdom"")",1953,Dasho Gyaldun Thinley,Aku Tongmi,,1m 11s,
Bolivia,"""Himno Nacional de Bolivia""
(""National Anthem of Bolivia"")",1852,José Ignacio de Sanjinés,Leopoldo Benedetto Vincenti,"""Himno Nacional de Bolivia""",1m 41s,
Bosnia and Herzegovina,"""Državna himna Bosne i Hercegovine""
(""The National Anthem of Bosnia and Herzegovina"")",1999,Awaiting official approval,Dušan Šestić,,,
Botswana,"""Fatshe leno la rona""
(""Blessed Be This Noble Land"")",1966,Kgalemang Tumedisco Motsete,Kgalemang Tumedisco Motsete,"""Fatshe leno la rona""",0m 57s,
Brazil,"""Hino Nacional Brasileiro""
(""Brazilian National Anthem"")",1831,Joaquim Osório Duque Estrada,Francisco Manuel da Silva,"""Hino Nacional Brasileiro""",3m 21s,
Brunei,"""Allah Peliharakan Sultan""
(""God Bless the Sultan"")",1951,Pengiran Haji Mohamed Yusuf bin Abdul Rahim,Besar bin Sagap,"""Allah Peliharakan Sultan""",1m 5s,
Bulgaria,"""Mila Rodino""
(""Dear Motherland"")",1964,Tsvetan Radoslavov,Tsvetan Radoslavov,"""Mila Rodino""",2m 1s,
Burkina Faso,"""Une Seule Nuit""
(""One Single Night"")",1984,Thomas Sankara,Thomas Sankara,,1m 47s,
Burundi,"""Burundi Bwacu""
(""Our Burundi"")",1962,Jean-Baptiste Ntahokaja and others,Marc Barengayabo,"""Burundi Bwacu""",1m 50s,
Cambodia,"""Nokor Reach""
(""Royal Kingdom"")",1941,Samdach Chuon Nat,F. Perruchot and J. Jekyll,"""Nokoreach""",1m 30s,
Cameroon,"""O Cameroun, Berceau de nos Ancêtres""
(""O Cameroon, Cradle of Our Forefathers"")",1957,"René Djam Afame, Samuel Minkio Bamba, Moïse Nyatte Nko'o (French),
Dr Bernard Fonlon (English)",René Djam Afame,,0m 58s,
Canada,"""Ô Canada""
(""O Canada"")",1980,"Adolphe-Basile Routhier (French);
Robert Stanley Weir (English)",Calixa Lavallée,"""O Canada""",1m 23s,
Cape Verde,"""Cântico da Liberdade""
(""Song of Freedom"")",1996,Amílcar Spencer Lopes,Adalberto Higino Tavares Silva,"""Cântico da Liberdade""",1m 11s,
Central African Republic,"""La Renaissance""
(""The Rebirth"")",1960,Barthélémy Boganda,Herbert Pepper,"""La Renaissance""",1m 6s,
Chad,"""La Tchadienne""
(""People of Chad"")",1960,Louis Gidrol and others,Paul Villard,"""La Tchadienne""",1m 1s,
Chile,"""Himno Nacional de Chile""
(""National Anthem of Chile"")",1847,Eusebio Lillo,Ramón Carnicer,"""Himno Nacional de Chile""",2m 2s,
China,"""义勇军进行曲""
(""March of the Volunteers"")","1949 (provisional)
1982 (official)
2004 (constitutional)",Tian Han,Nie Er,"""Yìyǒngjūn Jìnxíngqǔ""",0m 44s,
Colombia,"""Himno Nacional de la República de Colombia""
(""National Anthem of the Republic of Colombia"")",1920,Rafael Núñez,Oreste Sindici,"""Himno Nacional de la República de Colombia""",2m 41s,
Comoros,"""Udzima wa ya Masiwa""
(""The Union of the Great Islands"")",1978,Said Hachim Sidi Abderemane,Said Hachim Sidi Abderemane and Kamildine Abdallah,"""Udzima wa ya Masiwa""",1m 37s,
Democratic Republic of the Congo,"""Debout Congolais""
(""Arise Congolese"")","1960, 1997",Joseph Lutumba,Simon-Pierre Boka di Mpasi Londi,"""Debout Congolais""",1m 27s,
Republic of the Congo,"""La Congolaise""
(""The Congolese"")","1959, 1991",Jacques Tondra and Georges Kibanghi,Jean Royer and Joseph Spadilière,"""La Congolaise""",1m 15s,
Costa Rica,"""Himno Nacional de Costa Rica""
(""National Anthem of Costa Rica"")",1852,José María Zeledón Brenes,Manuel María Gutiérrez,"""Himno Nacional de Costa Rica""",1m 50s,
Croatia,"""Lijepa naša domovino""
(""Our Beautiful Homeland"")",1972,Antun Mihanović,Josip Runjanin,"""Lijepa naša domovino""",0m 59s,
Cuba,"""El Himno de Bayamo""
(""The Anthem of Bayamo"")",1902,Perucho Figueredo,Perucho Figueredo,"""El Himno de Bayamo""",0m 53s,
Cyprus,"""Ýmnos eis tīn Eleutherían""
(""Hymn to Liberty"")",1966,Dionýsios Solomós,Nikolaos Mantzaros,"""Ýmnos eis tīn Eleutherían""",0m 45s,
Czech Republic,"""Kde domov můj""
(""Where My Home is"")","1918, 1990",Josef Kajetán Tyl,František Škroup,"""Kde domov můj""",1m 12s,
Denmark,"""Kong Christian stod ved højen mast""
(""King Christian stood by the lofty mast"")",1780,Johannes Ewald,Unknown,"""Kong Christian stod ved højen mast""",1:11,
Denmark,"""Der er et yndigt land""
(""There is a lovely land"")",1840,Adam Oehlenschläger,Hans Ernst Krøyer,"""Der er et yndigt land""",1:20,
Djibouti,"""Djibouti""",1977,Aden Elmi,Abdi Robleh,"""Djibouti""",0m 48s,
Dominica,"""Isle of Beauty, Isle of Splendour""",1978,Wilfred Oscar Morgan Pond,Lemuel McPherson Christian,"""Isle of Beauty, Isle of Splendour""",0m 49s,
Dominican Republic,"""Himno Nacional""
(""National Anthem"")",1934,Emilio Prud'Homme,José Rufino Reyes y Siancas,"""Himno Nacional""",1m 37s,
East Timor,"""Pátria""
(""Fatherland"")","1975, 2002",Francisco Borja da Costa,Afonso de Araujo,"""Pátria""",2m 9s,
Ecuador,"""Salve, Oh Patria""
(""We Salute You, Our Homeland"")",1948,Juan León Mera,Antonio Neumane,"""Salve, Oh Patria""",3m 19s,
