Country,Dance(s)
Afghanistan,Attan
Albania,Shota
Algeria,Chaabi
Argentina,"Tango, Pericón"
Armenia,"Armenian dance, Shalakho, Kochari"
Australia,"Corroboree, Bush dance"
Austria,"Ländler, Waltz"
Azerbaijan,"Jangi, Khanchobany, Tello"
Bahamas,"Quadrille, Rake-and-scrape, Heel and Toe Polka, and Scullin"
Bahrain,"Ardah, Liwa"
Bangladesh,"Baul, Bizhu dance, Marma dance, Peacock dance"
Belarus,"Karahod,"
Belize,Brukdown
Bermuda,Gombey
Bolivia,"Huayno, Caporales, Diablada"
Brazil,"Samba, Frevo, Maculelê, Carimbó, Capoeira, Siriri, Forró, Maxixe, Coco"
Brunei,Zapin
Bulgaria,Rŭchenitsa
Burma,Burmese dance
Cambodia,"Romvong, Apsara Dance, Peacock Dance, Chhayam"
Canada,"None, Canadian stepdance unofficially; Red River Jig for Métis; jingle dance, Fancy dance and First Nations tribal dance styles dominate in areas populated by First Nations."
Cape Verde,"Coladeira, Batuque"
Chile,Cueca; Rapa Nui: Sau-sau and others
China,"Yangge, Lion dance, Dragon dance"
Colombia,Vallenato and Cumbia
Cook Islands,Ura
Costa Rica,Punto guanacasteco
Croatia,Linđo
Cuba,"Danzón, Rumba"
Cyprus,"Sousta, Tatsia, Turkish Cypriot folk dances"
Czech Republic,Polka
Democratic Republic of the Congo,Soukous
Denmark,Les Lanciers
Dominica,Kwadril
Dominican Republic,Merengue and Bachata
Ecuador,Pasillo
Egypt,Raqs sharqi and Raqs baladi
El Salvador,Xuc
Eritrea,Quda
Ethiopia,Eskista
Finland,"Finnish tango, Jenkka"
Fiji,Meke
France,"Gavotte, Branle, Farandole, Tambourin, Can-Can"
French Polynesia,Tamure
Georgia,"Khorumi, Perkhuli"
Germany,"Schuhplattler, Zwiefacher"
Ghana,Adowa dance
Greece,"Syrtos, Syrtaki, Zeibekiko, Pyrrhichios, Serra, Pentozali, Kalamatianos, Tsamiko, Ballos, Sousta"
Guadeloupe,Gwo ka
Guatemala,Baile de la Conquista
Guyana,Soca
Haiti,"Compas, Kadans"
Honduras,Punta
Hungary,Czardas Kalocsai
Iceland,Vikivaki
India,Manipuri
Indonesia,"Legong, Pendet, Barong Ket, Ronggeng, Kebyar duduk, Saman dance"
Iraq,"Kurdish dance, Chobi, Khigga"
Iran,"Persian dance, Kurdish dance, Azerbaijani dances"
Ireland,Irish stepdance
Israel,Israeli folk dancing
Italy,"Tarantella, Furlana, Liscio, Monferrina"
Jamaica,Quadrille
Japan,Nihon-buyō
Jordan,Dabke
Korea,"Buchaechum, Ganggangsullae"
Kosovo,Shota
Kuwait,"Ardah, Liwa"
Lebanon,Dabke
Liechtenstein,Liechtensteiner Polka
