Nation,Date,Significance of this date
Acadia (Canada),15 August,Assumption Day was preferred over 24 June to remember that Acadians are descendants of France and a separate nation from the French Canadians.
Afghanistan,19 August,Independence from British control over Afghan foreign affairs in 1919. (see Afghan Independence Day)
Albania,28 November,Albanian Flag Day: Raising of the Albanian flag in Vlorë to announce the Albanian Declaration of Independence in 1912
Alderney (British Islands),15 December,"Homecoming Day, the return of the Islanders after the end of the German occupation of the Channel Islands during World War II 1945"
Algeria,5 July,Independence Day (Algeria) in 1962
Algeria,1 November,"Revolution Day, beginning of the Algerian War in 1954"
American Samoa (United States),17 April,"US Flag Day, commemorates the date American Samoa became a US territory and first flew the US flag in 1900, as well as the date of adoption of the American Samoan flag in 1960."
Andalusia (Spain),28 February,Commemorates the date of the 1980 referendum on the Statute of Autonomy of Andalusia that established the region as an autonomous community
Andorra,8 September,"Our Lady of Meritxell Day, patron saint of Andorra, signing of the Paréage of Andorra 1278"
Angola,11 November,Independence from Portugal in 1975
Anguilla (United Kingdom),30 May,Anguilla Day; the beginning of the Anguillian Revolution in 1967
Antigua and Barbuda,1 November,Independence from the United Kingdom in 1981
Aragon (Spain),23 April,"Saint George's Day, patron saint of Aragon and his Crown. An XIII legend holds that during the battle of Alcoraz in 1096, Saint George appeared in support of Aragonese army force."
Argentina,25 May,"May Revolution, in 1810"
Argentina,9 July,"Declaration of Independence, from Spain in 1816"
Armenia,28 May,"Republic Day, independence from the Transcaucasian Democratic Federative Republic 1918"
Armenia,21 September,Independence from the Soviet Union recognised in 1991
Aruba (Kingdom of the Netherlands),18 March,Flag Day; adoption of the flag in 1976
Ascension (United Kingdom),3rd Saturday in June,King's Official Birthday
Asturias (Spain),8 September,"Feast of Our Lady of Covadonga, patron saint of Asturias"
Australia,26 January,"Australia Day, date of the founding of Sydney, the first British settlement in Australia, 1788"
Austria,26 October,The Neutrality Constitution of 1955
Azerbaijan,28 May,"Independence Day, independence from the Transcaucasian Democratic Federative Republic 1918"
Azores (Portugal),Pentecost Monday,"Azores Day, gaining autonomy within Portugal in 1976.
Pentecost may occur in late May or early June."
Bahamas,10 July,Independence from the United Kingdom in 1973
Bahrain,16 December,"Coronation Day of Isa bin Salman Al Khalifa, the first Emir of Bahrain, in 1961"
Balearic Islands (Spain),1 March,Commemorates the date that the Statute of Autonomy establishing the Balearic Islands as an autonomous community became effective in 1983
Bangladesh,26 March,"Independence Day, declaration of independence from Pakistan in 1971"
Bangladesh,16 December,"Victory Day,  commemorates the Surrender of Pakistan, ending the Bangladesh Liberation War in 1971"
Barbados,30 November,"Independence Day, from the United Kingdom in 1966. Also the anniversary of the formal proclamation of Barbados as a Republic in the Commonwealth in 2021."
Basque Country (Spain),25 October,"Commemorates the anniversary of the referendum that approved the Statute of Autonomy of the Basque Country of 1979, establishing the region as an autonomous community"
Belarus,3 July,"Independence Day, liberation of Minsk from German occupation by Soviet troops in 1944"
Belgium,21 July,"National Day, Leopold of Saxe-Coburg-Saalfeld takes the oath as the first King of the Belgians in 1831"
Belize,21 September,Independence from the United Kingdom in 1981
Benin,1 August,Independence from France in 1960
Bermuda (United Kingdom),24 May,"Originally Queen Victoria's birthday; now ""Bermuda Day"" to celebrate the islands' heritage and culture"
Bhutan,17 December,Ugyen Wangchuck elected hereditary king in 1907
Bolivia,6 August,Proclamation of Republic (independent from Spain) in 1825
Botswana,30 September,Independence from the United Kingdom in 1966
Brazil,7 September,"Dia da Independência, declaration of independence from Portugal in 1822"
British Empire,24 May,Queen Victoria's birthday
British Virgin Islands (United Kingdom),1 July,"Territory Day, commemoration of the day on which BVI gained self-governing status within the limits of still being a British colonial possession."
Brunei,23 February,"National Day, celebrating independence from the United Kingdom in 1984, which actually occurred on 1 January"
Brussels-Capital Region (Belgium),8 May,"Iris Day [fr; nl] - 8 May is during the blooming season of the iris (also called fleur de Lys), the symbol of the Region. Also, victory day over the Nazis in World War II and a former feast day of St. Michael, patron saint of the Region."
Bulgaria,3 March,"Liberation Day, autonomy within Ottoman Empire in 1878"
Burkina Faso,11 December,Proclamation of Independence in 1958
Burundi,1 July,Independence from Belgium in 1962
Cambodia,9 November,Independence from France in 1953
Cameroon,20 May,"National Day, creation of a unitary state in 1972"
Canada,1 July,"Canada Day, creation of a federal Canada from three British colonies in 1867"
Canary Islands (Spain),30 May,Anniversary of the first session of the Parliament of the Canary Islands in 1983
Castilla–La Mancha (Spain),31 May,Anniversary of the first session of the Cortes of Castilla–La Mancha in 1983
Catalonia (Spain),11 September,"National Day, commemorates the fall of Barcelona during the War of the Spanish Succession in 1714"
Cape Verde,5 July,Independence from Portugal in 1975
Cayman Islands (United Kingdom),1st Monday in July,Constitution adopted in 1959 for the West Indies Federation
Central African Republic,1 December,Made an autonomous territory within the French Community in 1958
Ceuta (Spain),2 September,"Pedro de Meneses, 1st Count of Vila Real becomes the first Governor of Ceuta after the 1415 Conquest of Ceuta"
Chad,11 August,Independence from France in 1960
Chile,18 September,The first Government Junta is created in 1810
People's Republic of China,1 October,National Day of the People's Republic of China (Proclamation of the People's Republic of China in 1949)
Republic of China,1 January,"Founding Day of the Republic of China, establishment of the Provisional Government in 1912"
Republic of China,10 October,Double Ten Day commemorating the 1911 Wuchang Uprising that led to abolishment of the monarchy and founding of the Republic in China in 1911
Colombia,20 July,Declaration of independence from Spain in 1810
Comoros,6 July,Independence from France in 1975
Democratic Republic of the Congo,30 June,Independence from Belgium in 1960
Republic of the Congo,15 August,Independence from France in 1960
Cook Islands,4 August,Self-government in free association with New Zealand in 1965
Costa Rica,15 September,Independence from the Kingdom of Spain in 1821
Croatia,30 May,"Statehood Day, multi-party Parliament was constituted in 1990"
Cuba,1 January,Liberation Day overthrow of the Batista regime in 1959
Cuba,10 October,Independence Day declared from the Spanish Empire in 1868
Curaçao (Kingdom of the Netherlands),2 July,The first elected island council is instituted in 1954
Cyprus,1 October,Independence from the United Kingdom in 1960
Czech Republic,28 October,Independence from Austria-Hungary (as Czechoslovakia) in 1918
Côte d'Ivoire,7 August,Independence from France in 1960
Denmark,5 June (unofficial),No official National Day; Constitution Day adoption of the Constitution of 1849.
Djibouti,27 June,Independence from France in 1977
Dominica,3 November,Independence from the United Kingdom in 1978 and discovery by Christopher Columbus in 1493
Dominican Republic,27 February,Independence from Haiti in 1844
East Timor,20 May,Independence from Indonesia in 2002
Ecuador,10 August,Proclamation of independence from Spain in 1809
Egypt,23 July,"Revolution Day, the revolution of 1952"
El Salvador,15 September,Independence from the Kingdom of Spain in 1821
