Country,Poet
Algeria,"Si Mohand, Moufdi Zakaria"
Angola,Agostinho Neto
Egypt,Ahmed Shawqi
Ethiopia,"Gibreab Teferi, Tsegaye Gabre-Medhin"
Ghana,"Atukwei Okai, Kofi Awoonor"
Lesotho,Thomas Mofolo
Liberia,Melvin B. Tolson
Madagascar,Jean-Joseph Rabearivelo
Mali,Fily Dabo Sissoko
Mauritius,Léoville L'Homme
Morocco,Mohammed Awzal
Mozambique,José Craveirinha
Namibia,Mvula ya Nangolo
Nigeria,Chinua Achebe
Senegal,Léopold Sédar Senghor
Sierra Leone,Davidson Nicol
Somalia,Hadrawi
South Africa,"Mazisi Kunene, S. E. K. Mqhayi"
Sudan,Gely Abdel Rahman
Tanzania,Shaaban bin Robert
Tunisia,Aboul-Qacem Echebbi
