Country (or region),Poet
Albania,"Gjergj Fishta, Naim Frashëri"
Andorra,Albert Salvadó
Armenia,"Grigor Narekatsi, Sayat-Nova, Hovhannes Tumanyan, Yeghishe Charents"
Austria,"Franz Grillparzer, Peter Rosegger, Johann Nepomuk Nestroy"
Belarus,"Yanka Kupala, Yakub Kolas"
Belgium,"Emile Verhaeren, Maurice Maeterlinck"
Catalonia,"Ausiàs March, Vicent Garcia, Jacint Verdaguer"
Galicia,"Rosalía de Castro, Eduardo Pondal, Afonso X, Castelao"
Flanders,"Hendrik Conscience, Guido Gezelle, Hugo Claus"
Bosnia and Herzegovina,"Mak Dizdar, Izet Sarajlić, Aleksa Šantić"
Bulgaria,"Hristo Botev, Ivan Vazov"
Croatia,"Marko Marulić, Miroslav Krleža"
Cyprus,Vasilis Michaelides
Czech Republic,"Karel Hynek Mácha, Božena Němcová, Jan Neruda"
Denmark,"Adam Oehlenschläger, Søren Kierkegaard"
Faroe Islands,William Heinesen
England,"Geoffrey Chaucer, William Shakespeare, William Blake, William Wordsworth, Samuel Taylor Coleridge"
Estonia,"Kristjan Jaak Peterson, Lydia Koidula, Friedrich Reinhold Kreutzwald"
Finland,"Eino Leino, Johan Ludvig Runeberg"
France,"Charles Baudelaire, Victor Hugo"
Georgia,Shota Rustaveli
Germany,"Johann Wolfgang von Goethe, Friedrich von Schiller"
Gibraltar,Héctor Licudi
Greece,"Homer, Dionysios Solomos"
Guernsey,George Métivier
Hungary,"Sándor Petőfi, János Arany"
Iceland,"Egill Skallagrímsson, Jónas Hallgrímsson, Hallgrímur Pétursson"
Ireland,"Thomas Moore, William Butler Yeats, Seamus Heaney"
Isle of Man,T. E. Brown
Italy,"Virgil, Dante Alighieri, Francesco Petrarca, Giovanni Boccaccio, Giosuè Carducci, Giacomo Leopardi, Ugo Foscolo, Gabriele D'Annunzio"
Jersey,Wace
Latvia,"Rainis, Andrejs Pumpurs"
Liechtenstein,Peter Kaiser
Lithuania,"Kristijonas Donelaitis, Maironis, Juozas Tumas-Vaižgantas, Justinas Marcinkevičius"
Luxembourg,"Edmond de la Fontaine, Michel Rodange, Michel Lentz"
Malta,Dun Karm Psaila
Moldova,"Grigore Vieru, Mihai Eminescu"
Monaco,Louis Notari
Montenegro,Petar II Petrović-Njegoš
Netherlands,"Joost van den Vondel, Jacob Cats"
Friesland,Gysbert Japicx (or Japiks)
North Macedonia,"Kočo Racin, Georgi Pulevski and Kole Nedelkovski"
Norway,Henrik Wergeland
Poland,"Jan Kochanowski, Adam Mickiewicz, Juliusz Słowacki, Zygmunt Krasiński, Cyprian Norwid"
Portugal,"Luís de Camões, Fernando Pessoa"
Romania,Mihai Eminescu
Russia,Alexander Pushkin
Dagestan,Rasul Gamzatov
North Ossetia-Alania,Kosta Khetagurov
San Marino,Pio Chiaruzzi
Scotland,"Robert Burns, Hugh MacDiarmid"
Serbia,"Petar II Petrović-Njegoš, Vladislav Petković Dis, Oskar Davičo, Desanka Maksimović (Yugoslavia, Serbia and Montenegro)"
Kosovo,"Din Mehmeti, Ali Podrimja"
Slovakia,Pavol Országh Hviezdoslav
Slovenia,France Prešeren
Spain,"Miguel de Cervantes, Lope de Vega, Federico García Lorca"
Sweden,"Carl Michael Bellman, Gustaf Fröding, Verner von Heidenstam, Esaias Tegnér, Evert Taube"
Switzerland,"Gottfried Keller, Carl Spitteler"
Turkey,"Mehmet Akif Ersoy, Nâzım Hikmet"
Ukraine,"Taras Shevchenko, Ivan Franko, Lesya Ukrainka"
Wales,"Dylan Thomas, Dafydd ap Gwilym"
