Country (or region),Poets
Barbados,Kamau Brathwaite
Canada,"Pauline Johnson, John McCrae, Margaret Atwood, Lucy Maud Montgomery"
Cuba,"José Martí, Lezama Lima, Nicolás Guillén"
Costa Rica,"Aquileo J. Echeverría, Carmen Lyra"
Dominican Republic,Pedro Mir
Greenland,Henning Jakob Henrik Lund
Guatemala,Miguel Ángel Asturias
Haiti,"Oswald Durand, Jacques Roumain"
Jamaica,Claude McKay
Mexico,"Ramón López Velarde, Octavio Paz"
Nicaragua,Rubén Darío
Panama,Ricardo Miró
Quebec,"Gilles Vigneault, Félix Leclerc, Gaston Miron, Gérald Godin, Émile Nelligan, Octave Crémazie"
Saint Lucia,Derek Walcott
Puerto Rico,"Julia de Burgos, Giannina Braschi, Juan Antonio Corretjer, Lola Rodríguez de Tió, Nimia Vicéns"
United States,"Walt Whitman, Emily Dickinson, Francis Scott Key, Robert Frost, Langston Hughes, Maya Angelou, Gwendolyn Brooks"
