"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8260.47161314196","7876.76749063311","7638.41981269249","7559.02761813717","7665.07242339305","7866.81740779577","7997.67526667469","7926.48488521823","7914.56047092952","7948.39447343779","7999.24855082081","8066.11371917648","8085.08935933041","8282.36071744891","8534.42259672672","8864.32257877151","9214.64937119727","9384.62477013545","9238.67084403915","9605.72445175524","9673.01293543691","9626.25062389366","9722.40157075943","9841.38534731102","9836.57377832299","9800.36990455877","9774.60366625162","9766.8273581027","9709.80809648488","9350.5237214288","9441.16438531822","9434.44033727681",
"Afghanistan","AFG","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5947.55202712579","5992.56294828307","5825.20616583279","6207.3597406719","6229.88785528885","7040.15723583632","7197.85594137487","8347.27528674391","9213.90611614721","8778.6250677384","9349.20176478522","9413.67845026612","9195.1483310949","9061.37926703992","9081.35214813279","9089.06383061441","8846.77311157899","8842.50459514405","9541.77095707523","","",
"Africa Western and Central","AFW","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8001.75802384819","7985.71006315231","7691.75899543975","7480.29661951214","7432.06325846226","7569.49881004399","7691.0971585448","7755.92797760399","7690.39068555019","7708.11062377697","7883.71942848127","8377.34759201735","8595.5840658965","9013.87143440633","9281.21000451145","9511.00407279623","9761.09522796228","10120.9986126488","10476.7751758272","10923.6798986236","11168.1026328498","11701.4648962144","12325.4840860095","12723.2262320504","12724.5056585529","12336.9635664723","12292.3680102792","12249.3087262711","12246.7489464545","12013.7092795402","12089.5856364286","12080.514717855",
"Angola","AGO","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14363.5876401866","13114.9260435539","9678.9081126202","9499.18773656594","10563.3812061503","11584.246877711","11998.7382283679","12129.7208788108","11974.6742403328","11917.5993968472","11982.2366814767","13133.1640091683","13044.6508989676","13938.5716537652","15442.7087681124","16590.679914949","18212.4748048476","19502.5972785847","18955.4787828649","20255.2793956556","19719.201451777","20769.1241784448","21179.2992894069","21579.1091425462","21012.4001150361","19738.2067966511","18989.5667715647","18075.8055628447","17313.6466253781","16083.6436481604","15729.6150634561","15561.5305292093",
"Albania","ALB","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8906.19304973285","10531.2299630543","10993.0254853543","11416.2436115556","12246.183523552","13449.8589394563","12249.1337921881","14020.8460135196","16218.3411717163","17063.8809192171","18554.8984473125","19186.0683764528","20231.2184449147","21399.2638592371","22751.6315820687","24314.7413086974","26261.271121832","27722.0243927148","27782.1088542429","28685.6002340579","26723.4957141927","28295.3296443768","31839.2046066917","32519.923316223","31582.8304855923","30847.1545399306","30845.057973358","30882.7418538293","30717.4205488994","32168.8940397327","33941.3974665962","35289.634660542",
"Andorra","AND","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43451.2591096685","44929.8937818505","44783.502705698","44201.0882536524","44503.3029576905","44776.6186684758","45232.8877980194","46405.1072426326","46819.5979044061","49347.6943849838","49078.9816721733","48600.820748273","49214.0380066876","50970.2927176102","51786.440005426","52285.1241820247","52162.4912452044","52958.254544822","51186.276263816","51483.1584632698","52777.0826069333","54433.8849794623","53198.0950333154","53478.1980886739","54544.1442109788","55259.2902083762","56038.7670396106","56574.4209176862","56172.5393272969","54694.3715287387","55684.2156071157","57383.0551490676",
"United Arab Emirates","ARE","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205573.533196713","198474.037016553","187923.472753461","188732.87144898","189630.981580499","188417.50774563","190865.350768039","178955.959614773","171891.640851881","177860.216133835","168865.310568286","162071.887195957","165445.276929052","170489.491333901","164816.828558562","155839.014632411","132040.424225412","112520.962007521","91655.7053792386","86617.7709127233","90279.4160243313","90318.6697871118","93248.8500875929","95522.8069025558","100379.700459599","104333.903332958","104570.718029301","104446.18680974","104484.833121832","101151.330207957","104744.150501665","110550.779621596",
"Argentina","ARG","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38442.3401850243","40686.2665633347","44520.9087089766","46813.6478012359","49002.1395007385","49463.1191627602","50617.892119279","50265.8155944813","49058.89220394","48693.5533973552","47690.1191272904","44154.95394603","44392.9286811418","46061.0903605963","48662.6131243053","50782.6870841149","54241.1778296412","55924.341346986","52043.8643056322","56943.432764564","58705.4135975736","57598.9014366423","58507.6343872866","56885.1795777604","58051.3488061161","56689.7500421703","57915.6255284952","55460.3855167411","53385.378273041","52010.6147907101","51161.3888899713","51836.9120589711",
"Armenia","ARM","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9994.15879268194","5939.67424276351","5862.19653200189","6458.73068094809","7032.91543607875","7706.15660660583","8143.40397075445","8641.15212320228","9138.00733763661","9695.08872047806","10650.5130002859","12081.0007484559","13771.1322469263","15174.9624960553","17239.8560869519","19420.1799799533","21951.2745998837","23516.4988815487","19886.5827218009","20460.2179895146","21578.6756011029","23360.9904452656","24297.6686360133","25394.8475849532","26442.9528032207","26715.9558972293","29126.6691829259","30995.065971077","32593.0706500231","30798.3607807599","32760.4440909743","36827.61624193",
"American Samoa","ASM","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68169.1891367154","68795.842842071","71439.465115123","71990.8514209369","72141.6895598526","73947.2729640403","76218.2096617668","78388.5138531635","80872.2812420757","81896.7196102399","82497.3244048262","84182.2371220759","84861.2826107145","86965.703594892","86790.1715866474","87080.1396664092","87629.5971766096","88277.1762180527","89281.6546376591","89456.1703371437","90086.3067689737","92474.1669181712","93991.6504708335","95776.4503858479","95996.5842324313","96966.2222776689","96975.0758904172","97238.8385102992","97162.5431335178","98186.6473944538","97275.4610090796","97627.1167863422",
"Austria","AUT","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86381.778310559","86346.3370219259","86628.9894661738","84244.5160774122","86537.8266122655","90145.1805715951","92277.3346061395","94946.5492182614","96880.2781987882","100162.812273697","100814.421950581","101422.696826357","101204.773294843","107670.054404617","106412.60377714","107817.36156074","109092.668676509","108753.931479394","104916.002283575","105875.87353728","107924.383973169","107838.280341408","107334.956873176","107837.943582434","107781.139236478","108284.517029424","109433.270010737","110508.987226577","111203.076055983","105333.144635248","109550.405817891","111040.836042853",
"Azerbaijan","AZE","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16080.5274122678","12064.6320116662","9121.46766182545","7151.32657227882","6159.27420256767","6191.80216659243","6534.50001644225","7184.25475183177","7689.74118605574","8546.35840208921","9371.86561550531","10232.5861246571","11234.569719637","12312.0607774227","15624.7103053895","20982.5977152442","26773.1783415783","29169.232435062","31073.6261940411","32202.2662127497","31564.0093836303","31549.8655441652","32786.0643477551","32901.2209416485","32592.7350053786","30731.3629526461","30241.505535709","30165.0516854144","30645.710966048","28890.5530224779","30264.2179834632","31482.5112996935",
